redirect_type,old_path,new_slug,redirect_target,redirect_rule,notes,old_url
RENAMED,edge/config/provision-entity-view,edge/user-guide/provision-entity-view,/docs/edge/user-guide/provision-entity-view/,/docs/edge/config/provision-entity-view/ /docs/edge/user-guide/provision-entity-view/ 301,,https://thingsboard.io/docs/edge/config/provision-entity-view/
RENAMED,edge/config/provision-user,edge/user-guide/provision-user,/docs/edge/user-guide/provision-user/,/docs/edge/config/provision-user/ /docs/edge/user-guide/provision-user/ 301,,https://thingsboard.io/docs/edge/config/provision-user/
RENAMED,edge/rule-engine/queues,edge/user-guide/queues,/docs/edge/user-guide/queues/,/docs/edge/rule-engine/queues/ /docs/edge/user-guide/queues/ 301,,https://thingsboard.io/docs/edge/rule-engine/queues/
RENAMED,edge/rule-engine/rule-chain-templates,edge/user-guide/rule-chain-templates,/docs/edge/user-guide/rule-chain-templates/,/docs/edge/rule-engine/rule-chain-templates/ /docs/edge/user-guide/rule-chain-templates/ 301,,https://thingsboard.io/docs/edge/rule-engine/rule-chain-templates/
RENAMED,edge/user-guide/alarms,edge/key-concepts/alarms,/docs/edge/key-concepts/alarms/,/docs/edge/user-guide/alarms/ /docs/edge/key-concepts/alarms/ 301,,https://thingsboard.io/docs/edge/user-guide/alarms/
RENAMED,faq,getting-started,/docs/getting-started/,/docs/faq/ /docs/getting-started/ 301,,https://thingsboard.io/docs/faq/
RENAMED,getting-started-guides/connectivity,getting-started,/docs/getting-started/,/docs/getting-started-guides/connectivity/ /docs/getting-started/ 301,,https://thingsboard.io/docs/getting-started-guides/connectivity/
RENAMED,getting-started-guides/helloworld,getting-started,/docs/getting-started/,/docs/getting-started-guides/helloworld/ /docs/getting-started/ 301,,https://thingsboard.io/docs/getting-started-guides/helloworld/
RENAMED,getting-started-guides/helloworld-pe,getting-started,/docs/getting-started/,/docs/getting-started-guides/helloworld-pe/ /docs/getting-started/ 301,,https://thingsboard.io/docs/getting-started-guides/helloworld-pe/
RENAMED,getting-started-guides/what-is-thingsboard,concepts/digital-twin-model,/docs/concepts/digital-twin-model/,/docs/getting-started-guides/what-is-thingsboard/ /docs/concepts/digital-twin-model/ 301,,https://thingsboard.io/docs/getting-started-guides/what-is-thingsboard/
RENAMED,iot-gateway/features-overview/provisioning,iot-gateway/features/provisioning,/docs/iot-gateway/features/provisioning/,/docs/iot-gateway/features-overview/provisioning/ /docs/iot-gateway/features/provisioning/ 301,,https://thingsboard.io/docs/iot-gateway/features-overview/provisioning/
RENAMED,iot-gateway/features-overview/report-strategy,iot-gateway/features/report-strategy,/docs/iot-gateway/features/report-strategy/,/docs/iot-gateway/features-overview/report-strategy/ /docs/iot-gateway/features/report-strategy/ 301,,https://thingsboard.io/docs/iot-gateway/features-overview/report-strategy/
PREFIX_RENAME,iot-gateway/install/deb-installation,iot-gateway/installation/deb-installation,/docs/iot-gateway/installation/deb-installation/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/deb-installation/
PREFIX_RENAME,iot-gateway/install/docker-installation,iot-gateway/installation/docker-installation,/docs/iot-gateway/installation/docker-installation/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/docker-installation/
PREFIX_RENAME,iot-gateway/install/docker-windows,iot-gateway/installation/docker-windows,/docs/iot-gateway/installation/docker-windows/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/docker-windows/
PREFIX_RENAME,iot-gateway/install/pip-installation,iot-gateway/installation/pip-installation,/docs/iot-gateway/installation/pip-installation/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/pip-installation/
PREFIX_RENAME,iot-gateway/install/rpm-installation,iot-gateway/installation/rpm-installation,/docs/iot-gateway/installation/rpm-installation/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/rpm-installation/
PREFIX_RENAME,iot-gateway/install/source-installation,iot-gateway/installation/source-installation,/docs/iot-gateway/installation/source-installation/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/source-installation/
PREFIX_RENAME,iot-gateway/install/upgrade-instructions,iot-gateway/installation/upgrade-instructions,/docs/iot-gateway/installation/upgrade-instructions/,/docs/iot-gateway/install/* /docs/iot-gateway/installation/:splat 301,,https://thingsboard.io/docs/iot-gateway/install/upgrade-instructions/
RENAMED,mobile-center/applications,user-guide/mobile-app-center/applications,/docs/user-guide/mobile-app-center/applications/,/docs/mobile-center/applications/ /docs/user-guide/mobile-app-center/applications/ 301,,https://thingsboard.io/docs/mobile-center/applications/
RENAMED,mobile-center/mobile-center,user-guide/mobile-app-center/applications,/docs/user-guide/mobile-app-center/applications/,/docs/mobile-center/mobile-center/ /docs/user-guide/mobile-app-center/applications/ 301,,https://thingsboard.io/docs/mobile-center/mobile-center/
RENAMED,reference/monolithic,reference/architecture/monolithic,/docs/reference/architecture/monolithic/,/docs/reference/monolithic/ /docs/reference/architecture/monolithic/ 301,,https://thingsboard.io/docs/reference/monolithic/
RENAMED,reference/performance,reference/architecture/performance,/docs/reference/architecture/performance/,/docs/reference/performance/ /docs/reference/architecture/performance/ 301,,https://thingsboard.io/docs/reference/performance/
RENAMED,user-guide/attributes,user-guide/digital-twins/attributes,/docs/user-guide/digital-twins/attributes/,/docs/user-guide/attributes/ /docs/user-guide/digital-twins/attributes/ 301,,https://thingsboard.io/docs/user-guide/attributes/
RENAMED,user-guide/audit-log,user-guide/security/audit-log,/docs/user-guide/security/audit-log/,/docs/user-guide/audit-log/ /docs/user-guide/security/audit-log/ 301,,https://thingsboard.io/docs/user-guide/audit-log/
RENAMED,user-guide/calculated-fields/geofencing-calculated-field,user-guide/calculated-fields/geofencing,/docs/user-guide/calculated-fields/geofencing/,/docs/user-guide/calculated-fields/geofencing-calculated-field/ /docs/user-guide/calculated-fields/geofencing/ 301,,https://thingsboard.io/docs/user-guide/calculated-fields/geofencing-calculated-field/
RENAMED,user-guide/calculated-fields/propagation-calculated-field,user-guide/calculated-fields/propagation,/docs/user-guide/calculated-fields/propagation/,/docs/user-guide/calculated-fields/propagation-calculated-field/ /docs/user-guide/calculated-fields/propagation/ 301,,https://thingsboard.io/docs/user-guide/calculated-fields/propagation-calculated-field/
RENAMED,user-guide/calculated-fields/related-entities-aggregation-calculated-field,user-guide/calculated-fields/related-entities-aggregation,/docs/user-guide/calculated-fields/related-entities-aggregation/,/docs/user-guide/calculated-fields/related-entities-aggregation-calculated-field/ /docs/user-guide/calculated-fields/related-entities-aggregation/ 301,,https://thingsboard.io/docs/user-guide/calculated-fields/related-entities-aggregation-calculated-field/
